"Display %s first","%s eerst weergeven"
"Bestsellers","Meest verkocht"
"notice","melding"
"My Account","Mijn account"
"Min","Min"
"Minimum","Minimum"
"Module version conflict!","Module version conflict!"
"MS Excel XML","MS Excel XML"
"N/A","N/B"
"Name","Naam"
"Attribute Set Name:","Naam attributen-set:"
"Name on the Card: %s","Naam op de kaart: %s"
"Name on Card","Naam op kaart"
"Name:","Naam:"
"to","naar"
"Go Today","Naar vandaag"
"No","Nee"
"No (price without tax)","Nee (prijs excl. BTW)"
"Ignore","Negeren"
"New admin password","Nieuw admin-wachtwoord"
"New Item Type","Nieuw artikeltype"
"Create New Attribute","Nieuw attribuut aanmaken"
"Add New osCommerce Profile","Nieuw osCommerce-profiel toevoegen"
"New Profile","Nieuw profiel"
"Add New Profile","Nieuw profiel toevoegen"
"New System Template","Nieuw systeem-template"
"New Template","Nieuw template"
"New Password","Nieuw wachtwoord"
"New Store View","Nieuw winkelzicht"
"New Accounts","Nieuwe accounts:"
"Add New Image","Nieuwe afbeelding toevoegen"
"New Api Key","Nieuwe Api key"
"New Email Template","Nieuwe e-mail template"
"New Extension","Nieuwe extensie"
"New User","Nieuwe gebruiker"
"Add New User","Nieuwe gebruiker toevoegen"
"New Customers","Nieuwe klanten"
"Add new Role","Nieuwe Rol toevoegen"
"Add New Role","Nieuwe Rol toevoegen"
"New Tag","Nieuwe tag"
"Add New Template","Nieuwe template toevoegen"
"Add New Urlrewrite","Nieuwe Url-rewrite toevoegen"
"New Website","Nieuwe website"
"Add new website map","Nieuwe website map toevoegen"
"Add new store view map","Nieuwe winkelzicht map toevoegen"
"Level","Niveau"
"MINOR","NOTIFICATIE"
"Credit Memo #%s comment added","Notitie toegevoegd aan creditnota #%s"
"Invoice #%s comment added","Notitie toegevoegd aan factuur #%s"
"Shipment #%s comment added","Notitie toegevoegd aan levering #%s"
"Note:","Notitie:"
"Notes","Notities"
"Shipment Comments","Notities verzending"
"Notes:","Notities:"
"Refresh Now*","Nu her-indexeren*"
"Merge Now","Nu samenvoegen"
"- or click and drag for faster selection.","of klik en sleep voor snelle selectie"
"- or Shift-click to decrease it","of shift-klik om het te verlagen"
"Description:","Omschrijving:"
"Convert to Plain Text","Omzetten naar platte tekst"
"Unknown","Onbekend"
"Unknown error","Onbekende fout"
"Subject","Onderwerp"
"Invalid file: %s","Ongeldig bestand: %s"
"Invalid Username or Password.","Ongeldige gebruikersnaam of wachtwoord"
"Invalid Import Service Specified","Ongeldige importservice opgegeven"
"Invalid input:","Ongeldige invoer:"
"Invalid input data for %s => %s rate","Ongeldige invoergegevens voor %s => %s koers"
"Invalid directory: %s","Ongeldige map: %s"
"Invalid parrent block for this block","Ongeldige ouder-blok voor dit blok"
"Invalid POST data (please check post_max_size and upload_max_filesize settings in you php.ini file)","Ongeldige POST-data (controleer instellingen van post_max_size en upload_max_filesize in uw php.ini file)"
"Invalid section value","Ongeldige sectie-waarde"
"Invalid URL","Ongeldige URL"
"Invalid website value","Ongeldige websitewaarde"
"Invalid store value","Ongeldige winkelwaarde"
"Design","Ontwerp"
"Design change saved","Ontwerpverandering opgeslagen"
"Design change deleted","Ontwerpverandering verwijderd"
"Custom","Op maat"
"Save","Opslaan"
"Save & Generate","Opslaan & genereren"
"Save As...","Opslaan als.."
"Save and Continue Editing","Opslaan en verder bewerken"
"Save And Continue Edit","Opslaan en verder bewerken"
"Options","Opties"
"Optional","Optioneel"
"or","or"
"Original Magento attribute names in first row:","Originele Magento attribuut-namen in eerste rij:"
"Old rate:","Oude koers:"
"About the calendar","Over de kalender"
"Global Search","Overal zoeken"
"Matched expression","Overeenkomende uitdrukking"
"Add Package dependency","Package dependency toevoegen"
"Path:","Pad:"
"Path","Pad:"
"Page","Pagina"
"Package","Pakket"
"Save package with custom package file name","Pakket opslaan met eigen naam"
"Install Package File","Pakket-bestand installeren"
"Package Extensions","Pakket-extensies"
"Package Info","Pakket-info"
"Package Information","Pakket-informatie"
"Packages","Pakketten"
"Passive mode","Passieve mode"
"Payment Data Transfer (PDT)","Payment Data Transfer (PDT)"
"PayPal Email","PayPal e-mail"
"PEAR config","PEAR configuratie"
"PEAR Configuration was successfully saved","PEAR configuratie is met succes opgeslagen"
"Save PEAR Config","PEAR configuratie opslaan"
"PEAR Console","PEAR Console"
"Per Item","Per artikel"
"Per Order","Per bestelling"
"per page","per pagina"
"Percent","Percentage"
"Period","Periode"
"Permanent (301)","Permanent (301)"
"Personal Information","Persoonlijke gegevens"
"Add PHP Extension dependency","PHP extension dependency toevoegen"
"PHP Version","PHP Versie"
"Shipping origin","Plaats van verzending"
"Please, select a store view","Please, select a store view"
"Edit Poll","Poll bewerken"
"Position of Watermark for %s","Positie van watermerk voor %s"
"Zip/Postal Code","Postcode"
"Zip/Postal Code:","Postcode:"
"Price","Prijs"
"Price alert subscription was saved successfully","Prijs-melding abonnement was met succes opgeslagen"
"Price:","Prijs:"
"Primary Billing Address","Primair factuuradres"
"Layered Navigation process queued to be killed","Proces gelaagde navigatie in wachtrij om gestopt te worden"
"Processed <strong>%s%% %s/%d</strong> items","Processed <strong>%s%% %s/%d</strong> items"
"Product:","Product"
"Product","Product"
"Product Thumbnail Itself","Product thumbnail zelf"
"Products","Producten"
"Profile Action","Profiel actie"
"Profile Actions XML","Profiel acties XML"
"Profile History","Profiel geschiedenis"
"Profile Information","Profiel informatie"
"Profile was successfully saved","Profiel is met succes opgeslagen"
"Profile was deleted","Profiel is verwijderd"
"Profile Name","Profiel naam"
"Save Profile","Profiel opslaan"
"Profile Direction","Profiel richting"
"Run Profile","Profiel uitvoeren"
"Run Profile Inside This Window","Profiel uitvoeren in dit venster"
"Run Profile In Popup","Profiel uitvoeren in pop-up venster"
"Delete Profile","Profiel verwijderen"
"Profile Wizard","Profiel wizard"
"Profiles","Profielen"
"Promo","Promotie"
"Promotions","Promoties"
"Region/State","Provincie"
"State/Province:","Provincie:"
"Release Info","Publicatie info"
"Release Stability","Publicatie stabiliteit"
"Release Version","Publicatie versie"
"Release","Publiceren"
"Radio Buttons","Radio buttons"
"Show Report for","Rapport tonen voor"
"Reports","Rapporten"
"Rebuild Flat Catalog Category","Rebuild Flat Catalog Category"
"Rebuild Flat Catalog Product","Rebuild Flat Catalog Product"
"Recent Orders","Recente orders"
"Permissions","Rechten"
"Recursive Dir","Recursieve dir"
"Reset Filter","Reset filter"
"Results","Resultaten"
"Show reviews","Reviews tonen"
"Direction:","Richting:"
"Role","Rol"
"Edit Role","Rol bewerken"
"Role Resources","Rol bronnen"
"Role Users","Rol gebruikers"
"Role ID","Rol ID"
"Role Info","Rol info"
"Role Information","Rol informatie"
"Role successfully saved.","Rol met succes opgeslagen."
"Role successfully deleted.","Rol met succes verwijderd."
"Role Name","Rol naam"
"Save Role","Rol opslaan"
"User Role","Rol van gebruiker"
"Delete Role","Rol verwijderen"
"User Roles Information","Rolgegevens gebruiker"
"Roles","Rollen"
"Roles Resources","Rollen bronnen"
"User Roles","Rollen van gebruiker"
"Running... Kill","Running... Stop"
"Items to merge","Samen te voegen items"
"Summary","Samenvatting"
"Summary:","Samenvatting:"
"Schedule Merge","Schedule Merge"
"Current Configuration Scope:","Scope huidige configuratie"
"website(%s) scope","Scope website(%s)"
"store(%s) scope","Scope winkel (%s)"
"Search Index rebuild error. Please try again later","Search Index rebuild error. Please try again later"
"Search Index was rebuilt successfully","Search Index was rebuilt successfully"
"Store Email Addresses Section","Sectie E-mailadressen van winkel"
"Advanced Section","Sectie Geavanceerd"
"Advanced Admin Section","Sectie Geavanceerde Admin"
"Design Section","Sectie Ontwerp"
"Developer Section","Sectie Ontwikkelaar"
"System Section","Sectie Systeem"
"Currency Setup Section","Sectie Valuta-instellingen"
"Web Section","Sectie Web"
"General Section","Seectie Algemeen"
"Select website from map","Select website from map"
"Select website to map","Select website to map"
"Please select one of the above options.","Selecteer &eacute;&eacute;;n van de hierboven genoemde opties a.u.b.."
"Please select tag(s)","Selecteer &eacute;&eacute;n of meerdere etiketten a.u.b."
"Please select one of the options.","Selecteer &eacute;&eacute;n van de opties a.u.b.."
"Please select customer(s)","Selecteer &eacute;&eacuten of meerdere klanten a.u.b."
"Select Range","Selecteer bereik op"
"Please select catalog searches","Selecteer een catalogus zoekacties"
"Please select a custmer","Selecteer een klant a.u.b."
"Please select an option.","Selecteer een optie a.u.b."
"Please select State/Province.","Selecteer een provincie a.u.b"
"Please select a store","Selecteer een winkel a.u.b."
"Please, select visible in stores to this poll first","Selecteer eerst zichtbare winkels in deze poll a.u.b."
"Please select review(s)","Selecteer review(s) a.u.b."
"Select","Selecteren"
"Import Service","Service importeren"
"Sitemap Information","Sitemap-informatie"
"Template","Sjabloon"
"Drag to move","Slepen om te verplaatsen"
"Exclude","Sluit uit"
"Exclude (comma separated)","Sluit uit (door komma's gescheiden)"
"Close","Sluiten"
"close","Sluiten"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Sommige bestelde producten hebben afwijkende factuur- en verzendgegevens. U kunt pas een zending aanmaken nadat u hebt gefactureerd."
"Some of the ordered items don't exist in the catalog anymore and will be removed if you try to edit the order.","Sommige bestelde producten staan niet meer in de catalogus en zullen worden verwijderd als u probeert uw bestelling aan te passen."
"Sorry, this feature is coming soon...","Sorry, deze functie komt spoedig..."
"Sort Order","Sorteervolgorde"
"Spreadsheet Name:","Spreadsheetnaam:"
"SSL Error: Invalid or self-signed certificate","SSL fout: Ongeldige of self-signed certificaat"
"Stability","Stabiliteit"
"Staging Store: ","Staging Store: "
"Staging Website: ","Staging Website: "
"Default (Admin) Values","Standaard (Admin) waarden"
"Default Config","Standaard configuratie"
"Use default","Standaard gebruiken"
"Default scope","Standaard-scope"
"Default Template from Locale","Standaard-template a.d.v. Lokalisatie"
"Load default template","Standaard-template laden"
"Default display currency ""%s"" is not available in allowed currencies","Standaard-valuta &quot;%s&quot; is niet beschikbaar in toegestane valuta's"
"Display default currency","Standaardvaluta weergeven"
"Default Values","Standaardwaarden"
"Use Default Value","Standaardwaarden gebruiken"
"View Statistics for","Statistieken bekijken voor"
"Status","Status"
"Status:","Status:"
"Store: ","Store: "
"Add Subpackage dependency","Subpackage dependency toevoegen"
"Subpackage","Subpakket"
"Subpackage can't be conflicting","Subpakket mag niet conflicteren"
"Subpackages","Subpakketten"
"Subtotal","Subtotaal"
"Switch/Solo card issue number: %s","Switch/Solo card nummer: %s"
"Switch/Solo card start Date: %s/%s","Switch/Solo kaart begindatum: %s/%s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Switch/Solo/Maestro(UK binnenland) kaart begindatum: %s/%s"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Switch/Solo/Maestro(UK binnenland) kaart nummer: %s"
"System","Systeem"
"Edit System Template","Systeem-template bewerken"
"Grid (default) / List","Tabel (standaard) / lijst"
"Edit Tag","Tag bewerken"
"Tag was successfully deleted","Tag is met succes verwijderd"
"Tag was successfully saved","Tag is met succes verwijderd"
"Tags","Tags"
"Tb","Tb"
"Text","Tekst"
"Comment text field can not be empty.","Tekstveld Notitie mag niet leeg zijn."
"Phone:","Telefoon:"
"Edit Template","Template bewerken"
"Template Information","Template informatie"
"Template Content","Template inhoud"
"Load Template","Template laden"
"Template Name","Template naam"
"Template Subject","Template onderwerp"
"Save Template","Template opslaan"
"Template Type","Template soort"
"Delete Template","Template verwijderen"
"Preview Template","Template vooraf bekijken"
"Back","Terug"
"Back to Login","Terug naar log-in venster"
"Back to local packages","Terug naar lokale pakketten"
" The customer doesn't exist in the system anymore","The klant zit niet meer in het systeem."
"This account is inactive.","This account is inactive."
"Thumbnail","Thumbnail"
"Parent Product Thumbnail","Thumbnail 'parent  product'"
"Time:","Tijd"
"Temporary (302)","Tijdelijk (302)"
"Time selection:","Tijdkeuze:"
"Time","Time"
"Access Denied.","Toegang geweigerd."
"Resource Access","Toegang tot bron"
"Access Deny","Toegang weigeren."
"Assigned","Toegewezen"
"Add","Toevoegen"
"Add after","Toevoegen na"
"Show by","Tonen op"
"Top 5 Search Terms","Top 5 zoektermen"
"Total","Totaal"
"Credit Memo total must be positive.","Totaal creditnota moet positief zijn."
"Credit Memo Totals","Totaal creditnota's"
"Total Invoiced","Totaal gefactureerd"
"Total Order Amount","Totaal orderbedrag"
"Total Refunded","Totaal teruggestort"
"Final Price","Totaalprijs"
"Total Amount","Totale hoeveelheid"
"Tracking number can not be empty.","Track en Trace nummer mag niet leeg zijn."
"Transactional Emails","Transactionele e-mails"
"Type","Type"
"Type:","Type:"
"You successfully logged out.","U bent met succes uitgelogd."
"You have","U hebt"
"Payment method must be specified","U hebt geen betaalwijze opgegeven"
"You have not enought permissions to login.","U hebt geen toestemming om in te loggen."
"You have not enought permissions to use this functionality.","U hebt onvoldoende rechten om deze functionaliteit te gebruiken."
"You can not delete self assigned roles.","U kan geen zelf-toegewezen rollen verwijderen"
"You cannot delete account of yourself","U kan niet uw eigen account verwijderen"
"You need to specify order items","U moet de bestelde artikelen specificeren"
"You need specify carrier.","U moet een transporteur specificeren."
"Issue Number","Uitgave-nummer"
"Distributed under GNU LGPL. See %s for details.","Uitgebracht onder GNU LGP licentie. Voor details zie %s."
"Disabled","Uitgeschakeld"
"Performed At","Uitgevoerd op"
"Disable","Uitschakelen"
"Run","Uitvoeren"
"Run in popup","Uitvoeren in pop-up venster"
"Add Exception","Uitzondering toevoegen"
"Update","Update"
"Upgrade","Upgraden"
"Upload HTTP Error","Upload HTTP fout"
"Upload I/O Error","Upload I/O fout"
"Upload Security Error","Upload veiligheidsfout"
"Upload and Install","Uploaden en installeren"
"Create Urlrewrite:","URLrewrite aanmaken"
"Edit Urlrewrite","URLrewrite bewerken"
"Add Urlrewrite","URLrewrite toevoegen"
"Add Urlrewrite for a Category","URLrewrite voor categorie toevoegen"
"Add Urlrewrite for a Product","URLrewrite voor product toevoegen"
"Urlrewrite Information","URLrwrite-gegevens"
"Use Config Settings","Use Config Settings"
"Your answers contain duplicates.","Uw antwoord bevat duplicaten."
"Issuer: %s","Uw bank: %s"
"Forgot your password?","Uw wachtwoord vergeten?"
"Currency","Valuta"
"Currency Information","Valuta-gegevens"
"From","Van"
"of %s pages","van %s pagina's"
"YTD","Vanaf begin dit jaar"
"Fixed","Vast"
"Field","Veld"
"Add Field with URL:","Veld met URL toevoegen"
"Field Mapping","Veldindeling"
"Add Field Mapping","Veldverwijzingen toevoegen"
"Connect with the Magento Community","Verbinden met de Magento gemeenschap"
"Wrong column format","Verkeerd kolommenformaat"
"Wrong tab configuration","Verkeerde tab-configuratie"
"Sales Report","Verkooprapport"
"Lifetime Sales","Verkooptotaal vanaf eerste bestelling"
"Wishlist Report","Verlanglijst-rapport"
"Refresh","Vernieuwen"
"Required","Verplicht"
"Version","Versie"
"Version:","Versie:"
"Submit","Verstuur"
"Expiration Date","Vervaldatum"
"Expiration Date: %s/%s","Vervaldatum: %s/%s"
"Delete","Verwijder"
"Remove","Verwijderen"
"Credit Memo void error","Verwijderingsfout creditnota"
"Shipping","Verzending"
"Shipment was successfully created.","Verzending is met succes aangemaakt."
"Shipment was successfully sent.","Verzending is met succes verstuurd."
"Shipping Price","Verzendkosten"
"Shipping method must be specified","Verzendwijze moet worden aangegeven"
"Please, add a few answers to this poll first","Voeg eerst een paar  antwoorden voor deze poll toe a.u.b."
"Enclose Values In:","Voeg waarden bij in:"
"Please enter a valid $ amount. For example $100.00.","Voer een geldig &euro; bedrag op. Bijvoorbeeld: &euro; 100.00."
"Please enter valid password.","Voer een geldig wachtwoord in a.u.b."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Voer een geldige postcode in a.u.b. Bijvoorbeeld: 2900 of 6621BK"
"Track order","Volg bestelling"
"Track this shipment","Volg deze verzending"
"Next year (hold for menu)","Volgende jaar (vasthouden voor menu)"
"Next month (hold for menu)","Volgende maand (vasthouden voor menu0"
"Next page","Volgende pagina"
"Tracking number %s for %s assigned","Volgnummer %s voor %s is toegewezen"
"Aggregate Order","Volgorde samenvoegen"
"Complete","Voltooid"
"For category","Voor categorie"
"For product","Voor product"
"Preview","Voorbeeld"
"example: ""sitemap/"" or ""/"" for base path (path must be writeable)","voorbeeld: ""sitemap/"" of ""/"" voor basispad. (Pad moet schrijfbaar zijn.)"
"example: sitemap.xml","voorbeeld: sitemap.xml"
"Preferred state","Voorkeursstand"
"Firstname","Voornaam"
"First Name","Voornaam"
"First Name:","Voornaam:"
"Inventory Stock Status","Voorraad-status"
"Stock notification was saved successfully","Voorraadbericht is met succes opgeslagen"
"Stock Quantity:","Voorraadhoeveelheid:"
"Previous page","Vorige pagina"
"Please fill in 'email' field.","Vul het ‘e-mail’ veld in a.u.b.."
"Value","Waarde"
"Value Delimiter:","Waarde-scheidingsteken:"
"Rates","Waardering"
"Rating was successfully saved","Waardering is met succes opgeslagen"
"Rating was successfully deleted","Waardering is met succes verwijderd"
"Please wait, loading...","Wacht a.u.b. Bezig met laden..."
"Please wait...","Wacht a.u.b..."
"Queue Refresh","Wachtrij vernieuwen"
"Layered Navigation indexing queue cancelled","Wachtrij voor indexeren van gelaagde navigatie geannuleerd"
"Password","Wachtwoord"
"Forgot your user name or password?","Wachtwoord of gebruikersnaam vergeten?"
"Retrieve Password","Wachtwoord opvragen"
"Password:","Wachtwoord:"
"Warning!rnThis action will remove this user from already assigned rolernAre you sure?","Warning!rnThis action will remove this user from already assigned rolernAre you sure?"
"Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?","Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?"
"What is this?","Wat is dit?"
"Watermark File for %s","Watermerk-bestand voor %s"
"We're in our typing table, coding away more features for Magento. Thank you for your patience.","We zijn terug naar de tekentafel voor meer functies in Magento. Dank voor uw geduld."
"Web Services","Web Services"
"Web services","Web services"
"Website","Website"
"Use website","Website gebruiken"
"Delete Website","Website verwijderen"
"Edit Website","Website wijzigen"
"Website: ","Website: "
"Websites","Websites"
"Websites / Stores","Websites / Stores"
"Are you sure you wish to UNINSTALL all selected packages?","Weet u zeker dat u alle geselecteerde pakketten wilt de-installeren?"
"Are you sure you wish to INSTALL all selected packages?","Weet u zeker dat u alle geselecteerde pakketten wilt installeren?"
"Are you sure you wish to UPGRADE all selected packages?","Weet u zeker dat u alle geselecteerde pakketten wilt upgraden?"
"Are you sure that you want to delete this template?","Weet u zeker dat u deze template wilt verwijderen?"
"Are you sure you want to do this?","Weet u zeker dat u dit wilt?"
"Are you sure that you want to strip tags?","Weet u zeker dat u tags wilt verwijderen?"
"Please confirm site switching. All data that hasn't been saved will be lost.","Weet u zeker dat u wilt wisselen van site? Alle data die nog niet bewaard is zal verloren gaan!"
"(Shift-)Click or drag to change value","Wijzig de waarde met (shift-)klik of slepen"
"Edit","Wijzigen"
"Changelog","Wijzigingen-log"
"Do you really want to KILL parallel process and start new indexing process?","Wilt u een parallel proces echt stopzetten en opnieuw gaan indexeren?"
"Store","Winkel"
"Store:","Winkel:"
"Shopping Cart from %s","Winkelwagen van %s"
"Store View","Winkelzicht"
"Edit Store View","Winkelzicht bewerken"
"Choose Store View","Winkelzicht kiezen"
"Delete Store View","Winkelzicht verwijderen"
"Save Currency Rates","Wisselkoersen opslaan"
"XML","XML"
"Year","Year"
"Visibility:","Zichtbaarheid"
"Search","Zoeken"
"Search Index","Zoekindex"
"Search Term","Zoekterm"
"Search Terms","Zoektermen"
"Please make sure that all global admin search modules are installed and activated.","Zorg er voor a.u.b dat alle globale admin-zoekmodules zijn geïnstalleerd en geactiveerd a.u.b."
"Please make sure that your changes were saved before running the profile.","Zorg er voor dat alle wijzigingen zijn opgeslagen voordat u het profiel uitvoert"
"Please make sure your passwords match.","Zorg er voor dat de wachtwoorden overeenkomen"
"[ deleted ]","[ verwijderd ]"
"[deleted]","[verwijderd]"
